3.611568987397503427e+00,-6.973120941898868219e-01,5.600794543355303023e-01
4.168474923333513438e+00,-1.293504023069326880e+00,-8.542651065040612890e-02
5.037198129614451680e+00,-8.516332583684042001e-01,-4.486913826461183530e-01
4.699589483601194217e+00,-4.037380634483072606e-01,4.354084958257552485e-01
4.082554200799489053e+00,-2.034069295750955408e-01,-3.771976502668383247e-01
3.854686397650284757e+00,3.600905419016914855e-01,4.746689944877795497e-01
4.257678364606762855e+00,9.095156570834322940e-01,-3.137168815846801406e-01
4.897423549086620476e+00,7.001624381496207583e-01,4.897368127395994031e-01
5.120404514291411857e+00,2.316028705825535772e-01,-4.144177766049937928e-01
5.317519786809779880e+00,1.257457775440740555e+00,-3.839563805812289954e-01
